name,position,team,owner,total_points,league_id,league_name
49ers,DEF,SF,All TUA Easy ,234.9,499904937,Sunday Funday
A.J. Brown,WR,PHI,Team Williams,268.35,499904937,Sunday Funday
Aaron Jones,RB,MIN,All TUA Easy ,127.65,499904937,Sunday Funday
Adam Thielen,WR,CAR,Mixon Match,205.5,499904937,Sunday Funday
AJ Dillon,RB,GB,Fourth and Drunk,112.1,499904937,Sunday Funday
Alexander Mattison,RB,LV,Team Williams,122.7,499904937,Sunday Funday
Alvin Kamara,RB,NO,Estebandz,214.25,499904937,Sunday Funday
Amari Cooper,WR,CLE,C Deez 🥜,216.25,499904937,Sunday Funday
Amon-Ra St. Brown,WR,DET,Dawg Pound,308.4,499904937,Sunday Funday
Antonio Gibson,RB,NE,Bonchon Robinson,112.4,499904937,Sunday Funday
Austin Ekeler,RB,WSH,Fourth and Drunk,168.4,499904937,Sunday Funday
Baker Mayfield,QB,TB,Fourth and Drunk,244.56,499904937,Sunday Funday
Bijan Robinson,RB,ATL,Bonchon Robinson,232.05,499904937,Sunday Funday
Bills,DEF,BUF,C Deez 🥜,263.36,499904937,Sunday Funday
Brandin Cooks,WR,DAL,Estebandz,159.45,499904937,Sunday Funday
Brandon Aiyuk,WR,SF,Dawg Pound,236.7,499904937,Sunday Funday
Brandon Aubrey,K,DAL,Mo' Mooney Mo' Problems,175,499904937,Sunday Funday
Breece Hall,RB,NYJ,Mixon Match,277.75,499904937,Sunday Funday
Brian Robinson Jr.,RB,WSH,Team JB,187.85,499904937,Sunday Funday
Brock Purdy,QB,SF,All TUA Easy ,277.35,499904937,Sunday Funday
Browns,DEF,CLE,Olave Garden,285.66,499904937,Sunday Funday
C.J. Stroud,QB,HOU,Olave Garden,257.52,499904937,Sunday Funday
Cade Otton,TE,TB,Fourth and Drunk,103.75,499904937,Sunday Funday
Calvin Ridley,WR,TEN,Mo' Mooney Mo' Problems,214.9,499904937,Sunday Funday
Cam Akers,RB,MIN,Estebandz,43.45,499904937,Sunday Funday
CeeDee Lamb,WR,DAL,C Deez 🥜,375.95,499904937,Sunday Funday
Chase McLaughlin,K,TB,Olave Garden,140.3,499904937,Sunday Funday
Chiefs,DEF,KC,Team Williams,232.84,499904937,Sunday Funday
Chris Godwin,WR,TB,All TUA Easy ,190.7,499904937,Sunday Funday
Chris Olave,WR,NO,Olave Garden,213.3,499904937,Sunday Funday
Christian Kirk,WR,JAX,Mixon Match,136.26,499904937,Sunday Funday
Christian McCaffrey,RB,SF,Olave Garden,379.55,499904937,Sunday Funday
Christian Watson,WR,GB,Bonchon Robinson,94.3,499904937,Sunday Funday
Chuba Hubbard,RB,CAR,Team JB,172.5,499904937,Sunday Funday
Clyde Edwards-Helaire,RB,KC,Mo' Mooney Mo' Problems,65.85,499904937,Sunday Funday
Cole Kmet,TE,CHI,Fourth and Drunk,162.6,499904937,Sunday Funday
Colts,DEF,IND,Dawg Pound,219.18,499904937,Sunday Funday
Cooper Kupp,WR,LAR,Fourth and Drunk,154.65,499904937,Sunday Funday
Courtland Sutton,WR,DEN,Hop on my Chubb,173.95,499904937,Sunday Funday
Cowboys,DEF,DAL,Team JB,280.14,499904937,Sunday Funday
Curtis Samuel,WR,BUF,Team JB,142.45,499904937,Sunday Funday
D'Andre Swift,RB,CHI,C Deez 🥜,188.05,499904937,Sunday Funday
D'Onta Foreman,RB,CLE,Olave Garden,87.45,499904937,Sunday Funday
Dak Prescott,QB,DAL,Hop on my Chubb,318.09,499904937,Sunday Funday
Dallas Goedert,TE,PHI,Mo' Mooney Mo' Problems,122.3,499904937,Sunday Funday
Dalton Kincaid,TE,BUF,Mo' Mooney Mo' Problems,131.05,499904937,Sunday Funday
Dalton Schultz,TE,HOU,Mixon Match,135.5,499904937,Sunday Funday
Dameon Pierce,RB,HOU,Olave Garden,79.45,499904937,Sunday Funday
Darren Waller,TE,NYG,Dawg Pound,100.2,499904937,Sunday Funday
Davante Adams,WR,LV,Bonchon Robinson,242.65,499904937,Sunday Funday
David Montgomery,RB,DET,Olave Garden,206.2,499904937,Sunday Funday
David Njoku,TE,CLE,Team Williams,180.45,499904937,Sunday Funday
De'Von Achane,RB,MIA,Olave Garden,190.2,499904937,Sunday Funday
DeAndre Hopkins,WR,TEN,Hop on my Chubb,210.6,499904937,Sunday Funday
Deebo Samuel,WR,SF,Estebandz,233.45,499904937,Sunday Funday
Demarcus Robinson,WR,LAR,Dawg Pound,78.9,499904937,Sunday Funday
DeMario Douglas,WR,NE,All TUA Easy ,91.95,499904937,Sunday Funday
Derek Carr,QB,NO,Estebandz,217.87,499904937,Sunday Funday
