id,name,position,team,owner,points,projected_points,year,league_id
1,Chris Olave,WR,NO,Olave Garden,194.6,203.42,2023,499904937
2,Dameon Pierce,RB,HOU,Olave Garden,76.6,194.86,2023,499904937
3,DJ Moore,WR,CHI,Olave Garden,229.2,187.41,2023,499904937
4,Zay Flowers,WR,BAL,Olave Garden,168.3,147.67,2023,499904937
5,Jets D/ST,D/ST,NYJ,Olave Garden,251.46,175.88,2023,499904937
6,C.J. Stroud,QB,HOU,Olave Garden,223.54,153.75,2023,499904937
7,Browns D/ST,D/ST,CLE,Olave Garden,276.16,194.12,2023,499904937
8,Christian McCaffrey,RB,SF,Olave Garden,367.45,258.39,2023,499904937
9,Jake Ferguson,TE,DAL,Olave Garden,141.65,91.67,2023,499904937
10,Justin Jefferson,WR,MIN,Olave Garden,146.55,297.27,2023,499904937
11,D'Onta Foreman,RB,CHI,Olave Garden,87.45,86.33,2023,499904937
12,De'Von Achane,RB,MIA,Olave Garden,154.4,73.7,2023,499904937
13,David Montgomery,RB,DET,Olave Garden,183.7,187.83,2023,499904937
14,Jonathan Mingo,WR,CAR,Olave Garden,71.55,117.47,2023,499904937
15,Geno Smith,QB,SEA,Olave Garden,168.75,238.43,2023,499904937
16,Chase McLaughlin,K,TB,Olave Garden,126.1,111.57,2023,499904937
17,Tyreek Hill,WR,MIA,Mixon Match,330.35,270.56,2023,499904937
18,Joe Mixon,RB,CIN,Mixon Match,211.85,215.67,2023,499904937
19,Keenan Allen,WR,LAC,Mixon Match,255.11,194.16,2023,499904937
20,Breece Hall,RB,NYJ,Mixon Match,246.5,191.19,2023,499904937
21,Drake London,WR,ATL,Mixon Match,142.93,174.63,2023,499904937
22,Christian Kirk,WR,JAX,Mixon Match,136.26,172.01,2023,499904937
23,Pat Freiermuth,TE,PIT,Mixon Match,59.3,134.23,2023,499904937
24,Nico Collins,WR,HOU,Mixon Match,199.2,135.4,2023,499904937
25,Jordan Love,QB,GB,Mixon Match,239.33,177.78,2023,499904937
26,Adam Thielen,WR,CAR,Mixon Match,194.5,120.88,2023,499904937
27,Dalton Schultz,TE,HOU,Mixon Match,124.15,120.32,2023,499904937
28,Odell Beckham Jr.,WR,BAL,Mixon Match,95.95,138.58,2023,499904937
29,Zay Jones,WR,JAX,Mixon Match,60.4,125.61,2023,499904937
30,Gardner Minshew,QB,IND,Mixon Match,147.65,23.43,2023,499904937
31,Tyler Bass,K,BUF,Mixon Match,109.9,132.16,2023,499904937
32,Rams D/ST,D/ST,LAR,Mixon Match,111.92,116.24,2023,499904937
33,Rashid Shaheed,WR,NO,Mixon Match,128.95,103.46,2023,499904937
34,Saquon Barkley,RB,NYG,Hop on my Chubb,180.45,242.11,2023,499904937
35,Mark Andrews,TE,BAL,Hop on my Chubb,123.15,188.66,2023,499904937
36,DeAndre Hopkins,WR,TEN,Hop on my Chubb,182.3,181.81,2023,499904937
37,Diontae Johnson,WR,PIT,Hop on my Chubb,111.45,185.72,2023,499904937
38,James Conner,RB,ARI,Hop on my Chubb,140.8,191.8,2023,499904937
39,Trevor Lawrence,QB,JAX,Hop on my Chubb,211.09,251.23,2023,499904937
40,Courtland Sutton,WR,DEN,Hop on my Chubb,173,172,2023,499904937
41,Jakobi Meyers,WR,LV,Hop on my Chubb,169.88,155.9,2023,499904937
42,Dolphins D/ST,D/ST,MIA,Hop on my Chubb,228.78,203.4,2023,499904937
43,Puka Nacua,WR,LAR,Hop on my Chubb,247.2,94.92,2023,499904937
44,Zach Ertz,TE,None,Hop on my Chubb,44.95,108.78,2023,499904937
45,Tyjae Spears,RB,TEN,Hop on my Chubb,113.05,84.31,2023,499904937
46,Dak Prescott,QB,DAL,Hop on my Chubb,274.38,254.44,2023,499904937
47,Riley Patterson,K,CLE,Hop on my Chubb,85.5,131.11,2023,499904937
48,Devin Singletary,RB,HOU,Hop on my Chubb,136.99,119.39,2023,499904937
49,Isaiah Likely,TE,BAL,Hop on my Chubb,67.3,54.11,2023,499904937
50,Juwan Johnson,TE,NO,Hop on my Chubb,61.3,109.21,2023,499904937
51,Lucas Havrisik,K,LAR,Hop on my Chubb,48.2,14.35,2023,499904937
52,Travis Kelce,TE,KC,Estebandz,192.8,238.69,2023,499904937
53,DK Metcalf,WR,SEA,Estebandz,196.3,209.9,2023,499904937
54,Josh Allen,QB,BUF,Estebandz,328.42,324.91,2023,499904937
55,Deebo Samuel,WR,SF,Estebandz,211.8,196,2023,499904937
56,Alvin Kamara,RB,NO,Estebandz,207.85,184.07,2023,499904937
57,Brandin Cooks,WR,DAL,Estebandz,129,173.03,2023,499904937
58,Cam Akers,RB,MIN,Estebandz,43.45,188.06,2023,499904937
59,Steelers D/ST,D/ST,PIT,Estebandz,209.22,203.02,2023,499904937
60,Michael Gallup,WR,DAL,Estebandz,80.05,144.48,2023,499904937
61,Younghoe Koo,K,ATL,Estebandz,122.9,132.79,2023,499904937
62,Van Jefferson,WR,ATL,Estebandz,29.35,132.37,2023,499904937
63,Jerome Ford,RB,CLE,Estebandz,200,104.57,2023,499904937
64,Falcons D/ST,D/ST,ATL,Estebandz,180.44,169.92,2023,499904937
65,Rondale Moore,WR,ARI,Estebandz,83.25,138.35,2023,499904937
66,George Pickens,WR,PIT,Estebandz,182.15,164.93,2023,499904937
67,Isiah Pacheco,RB,KC,Estebandz,176.4,182.06,2023,499904937
68,Derek Carr,QB,NO,Estebandz,177.63,209.3,2023,499904937
69,Tony Pollard,RB,DAL,Mo' Mooney Mo' Problems,184.85,237.36,2023,499904937
70,Garrett Wilson,WR,NYJ,Mo' Mooney Mo' Problems,186.05,230.95,2023,499904937
71,Calvin Ridley,WR,JAX,Mo' Mooney Mo' Problems,184.15,184.53,2023,499904937
72,Justin Fields,QB,CHI,Mo' Mooney Mo' Problems,163.84,272.44,2023,499904937
73,Jonathan Taylor,RB,IND,Mo' Mooney Mo' Problems,107.4,128.51,2023,499904937
74,Javonte Williams,RB,DEN,Mo' Mooney Mo' Problems,139.65,179.27,2023,499904937
75,Jerry Jeudy,WR,DEN,Mo' Mooney Mo' Problems,104.5,180.5,2023,499904937
76,Kyler Murray,QB,ARI,Mo' Mooney Mo' Problems,87.65,157.66,2023,499904937
77,Kyren Williams,RB,LAR,Mo' Mooney Mo' Problems,218.9,89.09,2023,499904937
78,Gus Edwards,RB,BAL,Mo' Mooney Mo' Problems,169.4,96.12,2023,499904937
79,Joshua Palmer,WR,LAC,Mo' Mooney Mo' Problems,90.2,75.47,2023,499904937
